model,benchmark,top_k_mass,top1,entropy,n_prompts,top_tokens
DeepSeek-R1-Distill-Qwen-1.5B,aime,0.9998090254077052,0.8648526851347397,0.11881400220560556,90, so |  let |  I |  okay |  here |  this |  we |  the
DeepSeek-R1-Distill-Qwen-1.5B,arc,0.9991391561053441,0.859502359282695,0.10536349680905249,300, so |  I |  let |  the |  Tobias |  identify |  determine |  recognize
DeepSeek-R1-Distill-Qwen-1.5B,bbeh,0.9935551289043765,0.5661870490642631,0.20991462202468367,300, so |  let |  I |  the | 我 |  start | 我现在 |  calculate
DeepSeek-R1-Distill-Qwen-1.5B,drop,0.9999340479031001,0.6233512783632565,0.22478112688094043,300, so |  I |  let |  the |  okay |  identify |  to |  looking
DeepSeek-R1-Distill-Qwen-1.5B,gpqa_diamond,0.9999170136208164,0.8447774410588952,0.12783288930265455,198, so |  let |  I |  the |  okay |  this |  today |  time
DeepSeek-R1-Distill-Qwen-1.5B,logic2,0.9999502317408175,0.6932257093918636,0.2137934548397226,300, so |  I |  let |  the |  okay |  looking |  now |  this
DeepSeek-R1-Distill-Qwen-1.5B,math,0.9991850885072929,0.8978716776342469,0.08115266521667354,300, so |  let |  I |  okay |  Monica |  identify |  here |  calculate
DeepSeek-R1-Distill-Qwen-1.5B,mmlu_pro,0.9864647308960466,0.7541702672386538,0.16768768955225635,300, so |  I |  let |  the |  determine |  identify |  which |  calculate
DeepSeek-R1-Distill-Qwen-1.5B,musr,0.9998140293007868,0.7622574724874485,0.18481262037116522,300, so |  I |  let |  okay |  the |  now |  time |  this
DeepSeek-V2-Lite,aime,0.37452576052026376,0.07404002461472198,0.5805201794510937,90," I | 
 |  Hi |  Let |  The |  You |  This |  Hello"
DeepSeek-V2-Lite,arc,0.35813990004614865,0.0693118358933232,0.4414711423019828,300," I |  What |  The |  Which | 
 |  How |  You |  A"
DeepSeek-V2-Lite,bbeh,0.5100314632722774,0.23490896154658425,0.42649539230507955,300,"
 |   |  The |  I |  You |  Thank |  Task |  Please"
DeepSeek-V2-Lite,drop,0.36134728244175524,0.1059905892884863,0.3772572407924249,300,"
 |   |  The |  I |  You |  "" |  What |  How"
DeepSeek-V2-Lite,gpqa_diamond,0.46671015984128633,0.16951815133965673,0.4529165139114573,198,"
 |  The |   |  I |  You |  Hello |  Thank |  Hi"
DeepSeek-V2-Lite,logic2,0.4005551331780466,0.10092904010962517,0.4851947627029117,300, I |  Hello |  Good |  Mr |  The |  What |  We |  You
DeepSeek-V2-Lite,math,0.41127228113580117,0.11301543749187828,0.49367313835111926,300,"
 |  I |   |  The |  OK |  Okay |  Let |  You"
DeepSeek-V2-Lite,mmlu_pro,0.41395713282584995,0.15199429230461145,0.40146883412137646,300,"
 |  The |   |  I |  You |  What |  A |  This"
DeepSeek-V2-Lite,musr,0.31799366970960985,0.08073037584695464,0.39368049269889344,300,"
 |  The |  "" |   |  I |  You |  Detective |  A"
Mistral-7B-Instruct-v0.3,aime,0.778340822394296,0.5933404644113234,0.23994781103937604,90,"
 | [ | s | The | < | Let | To | $"
Mistral-7B-Instruct-v0.3,arc,0.9832080241032992,0.7984824165368742,0.17987768866075396,300,"
 | C | [ | B | . | A | D | INST"
Mistral-7B-Instruct-v0.3,bbeh,0.946928723083965,0.8599422051866831,0.14313102300329816,300,"
 | [ | ( | The | No | AC | A | Yes"
Mistral-7B-Instruct-v0.3,drop,0.9901299712598906,0.9252455524445611,0.06334200989700789,300,"
 | #### | [ | The | An | 1 | In | M"
Mistral-7B-Instruct-v0.3,gpqa_diamond,0.9882877671580896,0.9393676717533223,0.07380785241821831,198,"
 | [ | The | s | C | D | B | A"
